1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
4200	1500	4200	1500
8484	1500	8484	1500
8484	4200	8484	4200
8484	4800	8484	4800
12279.692307692305	8582.307692307691	12891.692307692305	8888.307692307691
18093.692307692305	14396.307692307691	18399.692307692305	14396.307692307691
23907.692307692305	19292.30769230769	23907.692307692305	19292.30769230769
23907.692307692305	19292.30769230769	23907.692307692305	19292.30769230769
23907.692307692305	19292.30769230769	23907.692307692305	19292.30769230769
16523.076923076922	13753.846153846154	16523.076923076922	13753.846153846154
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
3600	3600	3600	3600
3600	3600	3600	3600
3600	3600	3600	3600
3600	3600	3600	3600
3300	3300	3300	3300
3e3	3e3	3e3	3e3
1500	1500	3e3	3e3
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	3e3	3e3
3e3	3e3	3e3	3e3
5700	5700	5700	5700
11514	11514	11514	11514
11514	11514	11514	11514
17634	17634	17634	17634
17634	17634	17634	17634
17634	17634	17634	17634
17634	17634	17634	17634
17634	17634	17634	17634
17634	17634	17634	17634
17634	17634	17634	17634
12095.538461538461	12095.538461538461	12095.538461538461	12095.538461538461
9138.461538461539	9138.461538461539	9138.461538461539	9138.461538461539
3600	3600	3600	3600
3300	3300	3300	3300
3300	3300	3300	3300
3e3	3e3	3e3	3e3
1500	1500	3e3	3e3
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	4560	4560
3e3	3e3	3e3	3e3
5700	5700	5700	5700
5700	5700	5700	5700
5850	5850	5850	5850
6e3	6e3	6e3	6e3
11630.4	11630.4	11630.4	11630.4
11630.4	11630.4	11630.4	11630.4
11630.4	11630.4	11630.4	11630.4
11630.4	11630.4	11630.4	11630.4
11630.4	11630.4	11630.4	11630.4
11630.4	11630.4	11630.4	11630.4
6091.9384615384615	6091.9384615384615	6091.9384615384615	6091.9384615384615
3600	3600	3600	3600
3600	3600	3600	3600
3600	3600	3600	3600
3300	3300	3300	3300
3e3	3e3	3e3	3e3
1500	1500	3e3	3e3
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	4560	4560
3e3	3e3	4560	4560
5700	5700	5700	5700
11514	11514	11514	11514
11514	11514	11514	11514
11514	11514	11514	11514
11514	11514	11514	11514
11514	11514	11514	11514
11514	11514	11514	11514
11514	11514	11514	11514
11514	11514	11514	11514
5700	5700	5700	5700
3600	3600	3600	3600
3600	3600	3600	3600
3600	3600	3600	3600
3600	3600	3600	3600
3300	3300	3300	3300
3e3	3e3	3300	3300
1500	1500	3e3	3e3
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	1500	1500
1500	1500	3e3	3e3
3e3	3e3	3e3	3e3
5700	5700	5700	5700
5700	5700	5700	5700
11667	11667	11667	11667
16339.199999999999	16339.199999999999	16339.199999999999	16339.199999999999
21969.6	21969.6	21969.6	21969.6
27600	27600	27600	27600
