22230.000000000004	22230.000000000004	22230.000000000004	22230.000000000004
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
5472.000000000002	4320	5472.000000000002	4320
5760	3600	5760	3600
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4320	4320	4320	4320
0	0	0	0
0	0	0	0
0	0	0	0
468	468	468	468
468	468	468	468
3510	3510	0	0
0	0	3510	3510
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4320	4320	4320	4320
3944.519999999999	3944.519999999999	3944.519999999999	3944.519999999999
4320	4320	4320	4320
468	468	468	468
0	0	0	0
468	468	468	468
3510	3510	0	0
0	0	3510	3510
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4320	4320	4320	4320
3815.712000000001	3815.712000000001	3815.712000000001	3815.712000000001
0	0	0	0
0	0	0	0
468	468	468	468
468	468	468	468
3510	3510	0	0
0	0	3510	3510
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4534.92	4534.92	4534.92	4534.92
3276	3276	3276	3276
0	0	0	0
0	0	0	0
0	0	0	0
468	468	468	468
468	468	0	0
3510	3510	468	468
0	0	3510	3510
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1183.5720000000013	1183.5720000000013	1183.5720000000013	1183.5720000000013
0	0	0	0
0	0	0	0
0	0	0	0
585	585	585	585
6840	6840	6840	6840
4320	4320	4320	4320
4320	4320	4320	4320
1719.0000000000018	1719.0000000000018	1719.0000000000018	1719.0000000000018
0	0	0	0
468	468	468	468
468	468	468	468
0	0	0	0
3510	3510	0	0
0	0	3510	3510
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
5616	5616	5616	5616
0	0	0	0
280.8	280.8	280.8	280.8
1404	1404	1404	1404
936	936	936	936
0	0	0	0
0	0	0	0
3510	3510	0	0
0	0	3510	3510
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
5616	5616	5616	5616
0	0	0	0
280.8	280.8	280.8	280.8
1404	1404	1404	1404
936	936	936	936
0	0	0	0
0	0	0	0
3510	3510	3510	3510
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
5544	5544	6840	6840
4705.200000000001	4705.200000000001	4320	4320
0	0	0	0
280.8	280.8	0	0
1404	1404	468	468
936	936	0	0
0	0	468	468
0	0	0	0
3510	3510	3510	3510
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
238.68	238.68	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	5040	5040
0	0	0	0
5101.2	5101.2	4320	4320
5616	5616	4320	4320
0	0	1439.9999999999998	1439.9999999999998
0	0	0	0
0	0	0	0
2620.8	2620.8	3600	3600
0	0	0	0
3510	3510	3510	3510
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
238.68	238.68	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	6840	6840
5616	5616	4320	4320
4399.2	4399.2	4320	4320
280.8	280.8	432.00000000000244	432.00000000000244
1404	1404	468	468
936	936	0	0
0	0	468	468
0	0	0	0
3510	3510	3510	3510
0	0	0	0
