st_X,st_Y,RUTA,TIPO,LONGITUD,spjoin_rif
-84.40280623,10.07377691,1,PRIMARIA,48.75,0
-84.40333555,10.07343729,1,PRIMARIA,48.75,0
-84.40385333,10.0732928,1,PRIMARIA,48.75,0
-84.40436306,10.07322818,1,PRIMARIA,48.75,0
-84.40480432,10.07328125,1,PRIMARIA,48.75,0
-84.40523402,10.07342931,1,PRIMARIA,48.75,0
-84.40569446,10.07368019,1,PRIMARIA,48.75,0
-84.40612469,10.07397128,1,PRIMARIA,48.75,0
-84.40762197,10.07505987,1,PRIMARIA,48.75,0
-84.40879631,10.07588298,1,PRIMARIA,48.75,0
-84.40913383,10.07603537,1,PRIMARIA,48.75,0
-84.40918623,10.07606694,1,PRIMARIA,48.75,0
-84.40947639,10.07615889,1,PRIMARIA,48.75,0
-84.41036799,10.0763206,1,PRIMARIA,48.75,0
-84.41046119,10.07636484,1,PRIMARIA,48.75,0
-84.41088483,10.0764349,1,PRIMARIA,48.75,0
-84.41254967,10.07672973,1,PRIMARIA,48.75,0
-84.41309371,10.07686426,1,PRIMARIA,48.75,0
-84.41441507,10.07734052,1,PRIMARIA,48.75,0
-84.41516819,10.07759563,1,PRIMARIA,48.75,0
-84.41568757,10.07780734,1,PRIMARIA,48.75,0
-84.41602007,10.07798915,1,PRIMARIA,48.75,0
-84.41802622,10.07934176,1,PRIMARIA,48.75,0
-84.41872148,10.07982357,1,PRIMARIA,48.75,0
-84.42066771,10.0811554,1,PRIMARIA,48.75,0
-84.42109291,10.08137091,1,PRIMARIA,48.75,0
-84.42163195,10.08159098,1,PRIMARIA,48.75,0
-84.4221211,10.08173307,1,PRIMARIA,48.75,0
-84.42244249,10.08180152,1,PRIMARIA,48.75,0
-84.42520253,10.08232564,1,PRIMARIA,48.75,0
-84.42688958,10.08265224,1,PRIMARIA,48.75,0
-84.42716311,10.08266997,1,PRIMARIA,48.75,0
-84.42736107,10.08266262,1,PRIMARIA,48.75,0
-84.42764516,10.08263042,1,PRIMARIA,48.75,0
-84.42785016,10.08258043,1,PRIMARIA,48.75,0
-84.42800126,10.08253046,1,PRIMARIA,48.75,0
-84.42845907,10.08230768,1,PRIMARIA,48.75,0
-84.42862526,10.08217944,1,PRIMARIA,48.75,0
-84.42937663,10.08160034,1,PRIMARIA,48.75,0
-84.42993059,10.08117809,1,PRIMARIA,48.75,0
-84.43110097,10.0803414,1,PRIMARIA,48.75,0
-84.43147364,10.08007276,1,PRIMARIA,48.75,0
-84.43196511,10.07958873,1,PRIMARIA,48.75,0
-84.43406724,10.07685264,1,PRIMARIA,48.75,0
-84.43523334,10.07531751,1,PRIMARIA,48.75,0
-84.4357358,10.07457817,1,PRIMARIA,48.75,0
-84.4358259,10.07440191,1,PRIMARIA,48.75,0
-84.43603315,10.07354635,1,PRIMARIA,48.75,0
-84.43618204,10.07291264,1,PRIMARIA,48.75,0
-84.43650097,10.07166114,1,PRIMARIA,48.75,0
-84.43674608,10.07105385,1,PRIMARIA,48.75,0
-84.43710802,10.07041467,1,PRIMARIA,48.75,0
-84.43736328,10.07006402,1,PRIMARIA,48.75,0
-84.43767998,10.06967368,1,PRIMARIA,48.75,0
-84.43907213,10.06796277,1,PRIMARIA,48.75,0
-84.4412512,10.06525954,1,PRIMARIA,48.75,0
-84.44198828,10.06430988,1,PRIMARIA,48.75,0
-84.44253049,10.06357699,1,PRIMARIA,48.75,0
-84.44292017,10.06306545,1,PRIMARIA,48.75,0
-84.44323229,10.06258362,1,PRIMARIA,48.75,0
-84.44345433,10.06233985,1,PRIMARIA,48.75,0
-84.44385616,10.06201262,1,PRIMARIA,48.75,0
-84.44403593,10.06188167,1,PRIMARIA,48.75,0
-84.44425802,10.0617982,1,PRIMARIA,48.75,0
-84.44461813,10.0617209,1,PRIMARIA,48.75,0
-84.44488206,10.06170299,1,PRIMARIA,48.75,0
-84.44515204,10.06172665,1,PRIMARIA,48.75,0
-84.4473005,10.06237412,1,PRIMARIA,48.75,0
-84.44754028,10.06242153,1,PRIMARIA,48.75,0
-84.44805656,10.06243322,1,PRIMARIA,48.75,0
-84.44826659,10.06241614,1,PRIMARIA,48.75,0
-84.44860001,10.06234612,1,PRIMARIA,48.75,0
-84.44905829,10.0621476,1,PRIMARIA,48.75,0
-84.45050606,10.06125973,1,PRIMARIA,48.75,0
-84.45109474,10.0609165,1,PRIMARIA,48.75,0
-84.45143169,10.06087455,1,PRIMARIA,48.75,0
-84.45187394,10.06090569,1,PRIMARIA,48.75,0
-84.45231672,10.06102049,1,PRIMARIA,48.75,0
-84.4527243,10.06126106,1,PRIMARIA,48.75,0
-84.45297673,10.0614855,1,PRIMARIA,48.75,0
-84.45322969,10.06178793,1,PRIMARIA,48.75,0
-84.45335624,10.06210633,1,PRIMARIA,48.75,0
-84.45342488,10.06246119,1,PRIMARIA,48.75,0
-84.45345115,10.06267519,1,PRIMARIA,48.75,0
-84.45343563,10.06289973,1,PRIMARIA,48.75,0
-84.45340397,10.06308757,1,PRIMARIA,48.75,0
-84.45335416,10.06323359,1,PRIMARIA,48.75,0
-84.45307792,10.06399042,1,PRIMARIA,48.75,0
-84.4528968,10.0645305,1,PRIMARIA,48.75,0
-84.45279168,10.06493778,1,PRIMARIA,48.75,0
-84.45279836,10.06527214,1,PRIMARIA,48.75,0
-84.45279843,10.06544756,1,PRIMARIA,48.75,0
-84.4529074,10.06590657,1,PRIMARIA,48.75,0
-84.45311207,10.06633856,1,PRIMARIA,48.75,0
-84.45703875,10.07241053,1,PRIMARIA,48.75,0
-84.45761537,10.07335432,1,PRIMARIA,48.75,0
-84.45773183,10.07363063,1,PRIMARIA,48.75,0
-84.4577969,10.0738608,1,PRIMARIA,48.75,0
-84.45779949,10.07404243,1,PRIMARIA,48.75,0
-84.4578077,10.0744224,1,PRIMARIA,48.75,0
-84.45774693,10.07485098,1,PRIMARIA,48.75,0
-84.45755121,10.07541671,1,PRIMARIA,48.75,0
-84.45731873,10.07600297,1,PRIMARIA,48.75,0
-84.45716429,10.07651228,1,PRIMARIA,48.75,0
-84.45710704,10.0769449,1,PRIMARIA,48.75,0
-84.45714147,10.07738829,1,PRIMARIA,48.75,0
-84.45729579,10.07785052,1,PRIMARIA,48.75,0
-84.45748078,10.07817511,1,PRIMARIA,48.75,0
-84.45766221,10.07840065,1,PRIMARIA,48.75,0
-84.45806331,10.07876725,1,PRIMARIA,48.75,0
-84.45839483,10.07895792,1,PRIMARIA,48.75,0
-84.45916966,10.07924422,1,PRIMARIA,48.75,0
-84.46041799,10.07954409,1,PRIMARIA,48.75,0
-84.46129148,10.07965708,1,PRIMARIA,48.75,0
-84.4617136,10.0796866,1,PRIMARIA,48.75,0
-84.46230395,10.07966504,1,PRIMARIA,48.75,0
-84.46312397,10.07959022,1,PRIMARIA,48.75,0
-84.46385329,10.07944662,1,PRIMARIA,48.75,0
-84.46448081,10.07920186,1,PRIMARIA,48.75,0
-84.46501663,10.07888805,1,PRIMARIA,48.75,0
-84.46603524,10.07792445,1,PRIMARIA,48.75,0
-84.46677742,10.07723839,1,PRIMARIA,48.75,0
-84.46713042,10.07700184,1,PRIMARIA,48.75,0
-84.46752425,10.07684272,1,PRIMARIA,48.75,0
-84.46788639,10.07676997,1,PRIMARIA,48.75,0
-84.46947301,10.07661439,1,PRIMARIA,48.75,0
-84.47022,10.07657277,1,PRIMARIA,48.75,0
-84.47058014,10.07654536,1,PRIMARIA,48.75,0
-84.47200964,10.07646243,1,PRIMARIA,48.75,0
-84.47308906,10.07639341,1,PRIMARIA,48.75,0
-84.47844939,10.07604827,1,PRIMARIA,48.75,0
-84.4788206,10.07600195,1,PRIMARIA,48.75,0
-84.47944764,10.07582922,1,PRIMARIA,48.75,0
-84.47985357,10.07570246,1,PRIMARIA,48.75,0
-84.48070063,10.07532263,1,PRIMARIA,48.75,0
-84.48121167,10.07484607,1,PRIMARIA,48.75,0
-84.48187272,10.07419078,1,PRIMARIA,48.75,0
-84.48276637,10.07328737,1,PRIMARIA,48.75,0
-84.48328049,10.0729344,1,PRIMARIA,48.75,0
-84.48378105,10.07267914,1,PRIMARIA,48.75,0
-84.48444029,10.07245537,1,PRIMARIA,48.75,0
-84.49066749,10.07025964,1,PRIMARIA,48.75,0
-84.49086945,10.0702115,1,PRIMARIA,48.75,0
-84.49158166,10.07017418,1,PRIMARIA,48.75,0
-84.49262175,10.07007434,1,PRIMARIA,48.75,0
-84.49436397,10.06893434,1,PRIMARIA,48.75,0
-84.49505693,10.06868975,1,PRIMARIA,48.75,0
-84.49762018,10.06855296,1,PRIMARIA,48.75,0
-84.49869681,10.06802804,1,PRIMARIA,48.75,0
-84.49944412,10.06675277,1,PRIMARIA,48.75,0
-84.499471,10.06615607,1,PRIMARIA,48.75,0
-84.4993334,10.06502592,1,PRIMARIA,48.75,0
-84.49895754,10.06103012,1,PRIMARIA,48.75,0
-84.49934967,10.0605687,1,PRIMARIA,48.75,0
-84.49923975,10.06036096,1,PRIMARIA,48.75,0
-84.50045277,10.05969131,1,PRIMARIA,48.75,0
-84.50127362,10.05940157,1,PRIMARIA,48.75,0
-84.50176607,10.05912092,1,PRIMARIA,48.75,0
-84.50180265,10.05876844,1,PRIMARIA,48.75,0
-84.50123626,10.05735812,1,PRIMARIA,48.75,0
-84.50137243,10.05675246,1,PRIMARIA,48.75,0
-84.50358859,10.05485273,1,PRIMARIA,48.75,0
-84.50415331,10.05411109,1,PRIMARIA,48.75,0
-84.50461804,10.05290829,1,PRIMARIA,48.75,0
-84.50529199,10.05114485,1,PRIMARIA,48.75,0
-84.50579394,10.05075596,1,PRIMARIA,48.75,0
-84.50660569,10.05046622,1,PRIMARIA,48.75,0
-84.50710707,10.04997775,1,PRIMARIA,48.75,0
-84.50703308,10.0482417,1,PRIMARIA,48.75,0
-84.50675836,10.04693999,1,PRIMARIA,48.75,0
-84.50663945,10.04595475,1,PRIMARIA,48.75,0
-84.50635594,10.04421882,1,PRIMARIA,48.75,0
-84.50610776,10.04171481,1,PRIMARIA,48.75,0
-84.50549636,10.04086532,1,PRIMARIA,48.75,0
-84.50549564,10.03956319,1,PRIMARIA,48.75,0
-84.50524906,10.03903005,1,PRIMARIA,48.75,0
-84.50513944,10.03843343,1,PRIMARIA,48.75,0
-84.50489302,10.03818042,1,PRIMARIA,48.75,0
-84.50546683,10.03663401,1,PRIMARIA,48.75,0
